,q1,q2,q3,q4,q5,q6,gender,region
460,2,0,1,1,3,2,1,5
461,3,0,1,2,5,5,1,7
462,2,0,1,1,5,5,1,5
463,3,1,2,1,5,3,1,6
464,2,0,3,2,5,2,1,8
465,1,1,1,1,5,2,1,3
466,3,1,3,2,1,3,2,5
467,2,0,1,1,2,2,1,2
468,3,0,1,1,4,4,1,7
469,3,0,3,1,1,4,1,7
470,2,0,3,1,4,4,1,5
471,1,0,1,1,4,3,1,3
472,1,0,3,1,4,2,1,4
473,2,1,3,1,4,4,2,1
474,1,0,1,1,4,2,1,3
475,2,0,1,1,5,3,1,1
476,1,0,1,1,2,2,1,7
477,2,0,2,1,3,3,2,9
478,4,1,2,2,5,5,2,6
479,2,1,3,1,2,2,1,1
480,3,1,1,1,2,2,1,3
481,1,1,3,2,1,1,2,9
482,3,0,3,1,3,3,1,0
483,3,1,1,1,4,3,1,1
484,3,1,2,1,5,4,2,6
485,3,0,1,1,4,5,1,7
486,2,0,3,1,4,2,1,1
487,3,1,1,2,5,4,1,4
488,1,0,1,1,4,3,1,1
489,2,0,1,1,4,3,1,8
490,1,0,3,1,5,2,2,3
491,2,0,3,1,4,3,1,7
492,1,0,3,1,4,3,1,3
493,4,1,3,1,4,4,1,4
494,1,0,1,1,4,2,1,9
495,1,0,1,1,5,5,2,1
496,1,0,3,1,5,5,2,3
497,3,1,2,2,4,4,1,7
498,1,1,1,1,4,2,1,7
499,2,0,3,1,4,2,2,7
500,2,0,3,1,1,4,1,7
501,2,0,2,2,1,1,1,7
502,1,0,3,2,4,2,2,7
503,0,1,2,2,5,2,1,6
504,3,1,2,2,3,4,2,6
505,1,1,3,1,4,2,2,9
506,4,1,3,1,4,3,1,9
507,2,0,3,1,5,4,2,5
508,1,0,3,1,4,2,2,1
509,3,1,2,2,1,2,1,6
510,1,1,3,1,4,4,2,7
511,2,0,3,1,5,2,2,0
512,3,0,3,1,5,1,2,3
513,1,1,3,1,5,4,2,2
514,1,0,3,1,2,2,1,6
515,1,0,3,1,5,3,1,1
516,3,1,3,1,4,5,2,6
517,1,0,1,1,2,2,1,9
518,4,1,3,1,3,2,1,1
519,4,0,2,2,4,3,1,6
520,1,0,1,1,2,4,1,9
521,2,1,3,1,4,3,1,3
522,2,1,1,1,4,4,1,7
523,3,1,3,2,1,1,2,2
524,2,1,2,1,1,2,1,6
525,4,1,1,1,2,2,1,1
526,1,1,1,1,1,5,1,8
527,2,0,3,1,5,4,1,7
528,2,0,1,1,4,3,1,5
529,3,0,3,1,4,2,2,9
530,3,0,3,1,4,4,1,6
531,2,0,3,2,4,4,2,9
532,2,0,1,1,4,4,1,7
533,1,0,3,1,1,4,1,9
534,2,0,3,1,4,2,1,1
535,2,1,2,2,1,5,1,6
536,1,0,3,1,3,3,2,2
537,2,0,1,1,3,5,1,8
